store_name,street,city,state,zip,landline,mobile,website,date,location,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,Population,Zip,County,AverageMbps,FastestAverageMbps
Trader Joe's San Diego - Hillcrest (26),1090 University Avenue,San Diego,CA,92103,619-296-3122,619-296-3122,https://locations.traderjoes.com/ca/san-diego/26/,2021-07-10,California,62.46,50.93,31066.0,92103,San Diego,130.75,320.36
Trader Joe's Morgan Hill (202),17035 Laurel Rd,Morgan Hill,CA,95037,408-778-6409,408-778-6409,https://locations.traderjoes.com/ca/morgan-hill/202/,2021-07-10,California,62.46,50.93,45579.0,95037,Santa Clara,92.71,245.59
Trader Joe's Montrose (52),2462 Honolulu Ave,Montrose,CA,91020,818-957-3613,818-957-3613,https://locations.traderjoes.com/ca/montrose/52/,2021-07-10,California,62.46,50.93,8415.0,91020,Los Angeles,68.69,195.32
Trader Joe's Pasadena (51),610 S Arroyo Pkwy,Pasadena,CA,91105,626-568-9254,626-568-9254,https://locations.traderjoes.com/ca/pasadena/51/,2021-07-10,California,62.46,50.93,11254.0,91105,Los Angeles,75.72,197.5
Trader Joe's Campbell (73),1875 Bascom Ave,Campbell,CA,95008,408-369-7823,408-369-7823,https://locations.traderjoes.com/ca/campbell/73/,2021-07-10,California,62.46,50.93,45260.0,95008,Santa Clara,90.32,225.01
Trader Joe's Palm Desert (3),44250 Town Center Way,Palm Desert,CA,92260,760-340-2291,760-340-2291,https://locations.traderjoes.com/ca/palm-desert/3/,2021-07-10,California,62.46,50.93,31753.0,92260,Riverside,98.0,128.63
Trader Joe's Fresno (8),8478 N. Friant Road,Fresno,CA,93720,559-433-6478,559-433-6478,https://locations.traderjoes.com/ca/fresno/8/,2021-07-10,California,62.46,50.93,45191.0,93720,Fresno,94.3,230.58
Trader Joe's Huntington Harbour (244),16821 Algonquin St,Huntington Beach,CA,92649,714-846-7307,714-846-7307,https://locations.traderjoes.com/ca/huntington-beach/244/,2021-07-10,California,62.46,50.93,32463.0,92649,Orange,97.34,226.9
Trader Joe's Studio City (122),11976 Ventura Blvd,Studio City,CA,91604,818-509-0168,818-509-0168,https://locations.traderjoes.com/ca/studio-city/122/,2021-07-10,California,62.46,50.93,29034.0,91604,Los Angeles,132.56,259.65
Trader Joe's San Francisco - Pacific Place (225),10 4th Street,San Francisco,CA,94103,415-536-7801,415-536-7801,https://locations.traderjoes.com/ca/san-francisco/225/,2021-07-10,California,62.46,50.93,27170.0,94103,San Francisco,124.52,321.84
Trader Joe's San Francisco - 9th St (78),555 9th St,San Francisco,CA,94103,415-863-1292,415-863-1292,https://locations.traderjoes.com/ca/san-francisco/78/,2021-07-10,California,62.46,50.93,27170.0,94103,San Francisco,124.52,321.84
Trader Joe's Hastings Ranch (171),467 N Rosemead Blvd,Pasadena,CA,91107,626-351-3399,626-351-3399,https://locations.traderjoes.com/ca/pasadena/171/,2021-07-10,California,62.46,50.93,32940.0,91107,Los Angeles,99.19,222.37
Trader Joe's Pasadena (East) (32),3035 E Huntington Dr,Pasadena,CA,91107,626-356-2963,626-356-2963,https://locations.traderjoes.com/ca/pasadena/32/,2021-07-10,California,62.46,50.93,32940.0,91107,Los Angeles,99.19,222.37
Trader Joe's Lafayette (115),3649 Mt Diablo Blvd,Lafayette,CA,94549,925-299-9344,925-299-9344,https://locations.traderjoes.com/ca/lafayette/115/,2021-07-10,California,62.46,50.93,26864.0,94549,Contra Costa,162.11,324.78
Trader Joe's Petaluma (107),169 N McDowell Blvd,Petaluma,CA,94954,707-769-2782,707-769-2782,https://locations.traderjoes.com/ca/petaluma/107/,2021-07-10,California,62.46,50.93,37365.0,94954,Sonoma,106.34,301.3
Trader Joe's Brea (11),2500 E Imperial Hwy,Brea,CA,92821,714-257-1180,714-257-1180,https://locations.traderjoes.com/ca/brea/11/,2021-07-10,California,62.46,50.93,35533.0,92821,Orange,93.8,229.73
Trader Joe's Camarillo (114),363 Carmen Dr,Camarillo,CA,93010,805-388-1925,805-388-1925,https://locations.traderjoes.com/ca/camarillo/114/,2021-07-10,California,62.46,50.93,42901.0,93010,Ventura,107.6,234.37
Trader Joe's Fremont (77),39324 Argonaut Way,Fremont,CA,94538,510-794-1386,510-794-1386,https://locations.traderjoes.com/ca/fremont/77/,2021-07-10,California,62.46,50.93,61148.0,94538,Alameda,78.11,199.8
Trader Joe's Mall of Orange (46),2114 N Tustin St,Orange,CA,92865,714-283-5697,714-283-5697,https://locations.traderjoes.com/ca/orange/46/,2021-07-10,California,62.46,50.93,19704.0,92865,Orange,81.13,224.31
Trader Joe's Claremont (214),475 W Foothill Blvd,Claremont,CA,91711,909-625-8784,909-625-8784,https://locations.traderjoes.com/ca/claremont/214/,2021-07-10,California,62.46,50.93,35705.0,91711,Los Angeles,88.62,227.07
Trader Joe's Concord (83),785 Oak Grove Rd,Concord,CA,94518,925-521-1134,925-521-1134,https://locations.traderjoes.com/ca/concord/83/,2021-07-10,California,62.46,50.93,26778.0,94518,Contra Costa,77.34,225.08
Trader Joe's Monrovia (112),604 W Huntington Dr,Monrovia,CA,91016,626-358-8884,626-358-8884,https://locations.traderjoes.com/ca/monrovia/112/,2021-07-10,California,62.46,50.93,40598.0,91016,Los Angeles,93.65,230.32
Trader Joe's Ventura - Midtown (218),103 S Mills Rd,Ventura,CA,93003,805-658-2664,805-658-2664,https://locations.traderjoes.com/ca/ventura/218/,2021-07-10,California,62.46,50.93,50474.0,93003,Ventura,83.34,214.84
Trader Joe's Ventura (45),1795 S. Victoria Ave,Ventura,CA,93003,805-650-9977,805-650-9977,https://locations.traderjoes.com/ca/ventura/45/,2021-07-10,California,62.46,50.93,50474.0,93003,Ventura,83.34,214.84
Trader Joe's Yorba Linda (176),19655 Yorba Linda Blvd,Yorba Linda,CA,92886,714-970-0116,714-970-0116,https://locations.traderjoes.com/ca/yorba-linda/176/,2021-07-10,California,62.46,50.93,46564.0,92886,Orange,99.65,245.73
Trader Joe's San Mateo - Grant St (67),1820-22 S Grant Street,San Mateo,CA,94402,650-570-6140,650-570-6140,https://locations.traderjoes.com/ca/san-mateo/67/,2021-07-10,California,62.46,50.93,23981.0,94402,San Mateo,98.52,243.02
Trader Joe's San Francisco - North Beach (19),401 Bay St,San Francisco,CA,94133,415-351-1013,415-351-1013,https://locations.traderjoes.com/ca/san-francisco/19/,2021-07-10,California,62.46,50.93,26237.0,94133,San Francisco,132.7,324.88
Trader Joe's Novato (198),7514 Redwood Blvd,Novato,CA,94945,415-898-9359,415-898-9359,https://locations.traderjoes.com/ca/novato/198/,2021-07-10,California,62.46,50.93,17167.0,94945,Marin,105.89,265.2
Trader Joe's Millbrae (170),765 Broadway,Millbrae,CA,94030,650-259-9142,650-259-9142,https://locations.traderjoes.com/ca/millbrae/170/,2021-07-10,California,62.46,50.93,21536.0,94030,San Mateo,160.13,520.91
Trader Joe's Sacramento (175),5000 Folsom Blvd,Sacramento,CA,95819,916-456-1853,916-456-1853,https://locations.traderjoes.com/ca/sacramento/175/,2021-07-10,California,62.46,50.93,17141.0,95819,Sacramento,64.78,188.92
Trader Joe's Fairfield (101),1350 Gateway Blvd,Fairfield,CA,94533,707-434-0144,707-434-0144,https://locations.traderjoes.com/ca/fairfield/101/,2021-07-10,California,62.46,50.93,69277.0,94533,Solano,123.29,320.28
Trader Joe's Sherman Oaks (49),14119 Riverside Dr,Sherman Oaks,CA,91423,818-789-2771,818-789-2771,https://locations.traderjoes.com/ca/sherman-oaks/49/,2021-07-10,California,62.46,50.93,30991.0,91423,Los Angeles,113.02,291.73
Trader Joe's San Luis Obispo (41),3977 Higuera Street,San Luis Obispo,CA,93401,805-783-2780,805-783-2780,https://locations.traderjoes.com/ca/san-luis-obispo/41/,2021-07-10,California,62.46,50.93,28033.0,93401,San Luis Obispo,73.65,152.65
Trader Joe's Walnut Creek (123),1372 S California Blvd,Walnut Creek,CA,94596,925-945-1674,925-945-1674,https://locations.traderjoes.com/ca/walnut-creek/123/,2021-07-10,California,62.46,50.93,20037.0,94596,Contra Costa,115.49,312.56
Trader Joe's Sacramento (70),2625 Marconi Ave,Sacramento,CA,95821,916-481-8797,916-481-8797,https://locations.traderjoes.com/ca/sacramento/70/,2021-07-10,California,62.46,50.93,33550.0,95821,Sacramento,53.96,132.85
Trader Joe's Burbank (124),214 E Alameda Ave,Burbank,CA,91502,818-848-4299,818-848-4299,https://locations.traderjoes.com/ca/burbank/124/,2021-07-10,California,62.46,50.93,11371.0,91502,Los Angeles,141.66,311.53
Trader Joe's Templeton (211),1111 Rossi Road,Templeton,CA,93465,805-434-9562,805-434-9562,https://locations.traderjoes.com/ca/templeton/211/,2021-07-10,California,62.46,50.93,9153.0,93465,San Luis Obispo,47.96,113.52
Trader Joe's La Jolla (20),8657 Villa la Jolla Dr,La Jolla,CA,92037,858-546-8629,858-546-8629,https://locations.traderjoes.com/ca/la-jolla/20/,2021-07-10,California,62.46,50.93,46781.0,92037,San Diego,125.37,257.52
Trader Joe's San Ramon (246),300 Market Place,San Ramon,CA,94583,925-275-8140,925-275-8140,https://locations.traderjoes.com/ca/san-ramon/246/,2021-07-10,California,62.46,50.93,34859.0,94583,Contra Costa,125.05,366.19
Trader Joe's Santa Rosa - Cleveland Ave (75),3225 Cleveland Ave,Santa Rosa,CA,95403,707-525-1406,707-525-1406,https://locations.traderjoes.com/ca/santa-rosa/75/,2021-07-10,California,62.46,50.93,45164.0,95403,Sonoma,70.2,205.94
Trader Joe's San Diego - SDSU (224),5140 College Ave,San Diego,CA,92115,619-229-9092,619-229-9092,https://locations.traderjoes.com/ca/san-diego/224/,2021-07-10,California,62.46,50.93,58560.0,92115,San Diego,87.71,236.65
Trader Joe's Brentwood (201),5451 Lone Tree Way,Brentwood,CA,94513,925-516-3044,925-516-3044,https://locations.traderjoes.com/ca/brentwood/201/,2021-07-10,California,62.46,50.93,54605.0,94513,Contra Costa,126.88,341.96
Trader Joe's Stockton (76),6535 Pacific Ave,Stockton,CA,95207,209-951-7597,209-951-7597,https://locations.traderjoes.com/ca/stockton/76/,2021-07-10,California,62.46,50.93,47965.0,95207,San Joaquin,113.23,317.72
Trader Joe's Folsom (172),850 East Bidwell,Folsom,CA,95630,916-817-8820,916-817-8820,https://locations.traderjoes.com/ca/folsom/172/,2021-07-10,California,62.46,50.93,72180.0,95630,Sacramento,77.14,222.47
Trader Joe's Redlands (99),552 Orange St,Redlands,CA,92374,909-798-3888,909-798-3888,https://locations.traderjoes.com/ca/redlands/99/,2021-07-10,California,62.46,50.93,40267.0,92374,San Bernardino,90.83,203.34
Trader Joe's Berkeley (186),1885 University Ave,Berkeley,CA,94703,510-204-9074,510-204-9074,https://locations.traderjoes.com/ca/berkeley/186/,2021-07-10,California,62.46,50.93,19846.0,94703,Alameda,97.73,308.2
Trader Joe's Larkspur (235),2052 Redwood Hwy,Greenbrae,CA,94904,415-945-7955,415-945-7955,https://locations.traderjoes.com/ca/greenbrae/235/,2021-07-10,California,62.46,50.93,11995.0,94904,Marin,37.84,67.14
Trader Joe's Laguna Niguel - Ocean Ranch (103),32351 Street of the Golden Lantern,Laguna Niguel,CA,92677,949-493-8599,949-493-8599,https://locations.traderjoes.com/ca/laguna-niguel/103/,2021-07-10,California,62.46,50.93,63297.0,92677,Orange,130.51,277.23
Trader Joe's North Hollywood (252),6130 Laurel Canyon Bl,North Hollywood,CA,91606,818-762-2963,818-762-2963,https://locations.traderjoes.com/ca/north-hollywood/252/,2021-07-10,California,62.46,50.93,44958.0,91606,Los Angeles,104.72,243.94
Trader Joe's Santa Barbara (59),222 North Milpas Street,Santa Barbara,CA,93103,805-560-1182,805-560-1182,https://locations.traderjoes.com/ca/santa-barbara/59/,2021-07-10,California,62.46,50.93,20249.0,93103,Santa Barbara,114.22,290.81
Trader Joe's Torrance - Hawthorne Blvd (121),19720 Hawthorne Blvd,Torrance,CA,90503,310-793-8585,310-793-8585,https://locations.traderjoes.com/ca/torrance/121/,2021-07-10,California,62.46,50.93,44383.0,90503,Los Angeles,103.68,232.02
Trader Joe's Clovis (180),1077 N Willow Ave,Clovis,CA,93611,559-325-3120,559-325-3120,https://locations.traderjoes.com/ca/clovis/180/,2021-07-10,California,62.46,50.93,45614.0,93611,Fresno,120.27,361.97
Trader Joe's Huntington Beach (47),18681 Main St,Huntington Beach,CA,92648,714-848-9640,714-848-9640,https://locations.traderjoes.com/ca/huntington-beach/47/,2021-07-10,California,62.46,50.93,45317.0,92648,Orange,120.43,232.1
Trader Joe's Castro Valley (84),22224 Redwood Rd,Castro Valley,CA,94546,510-538-2738,510-538-2738,https://locations.traderjoes.com/ca/castro-valley/84/,2021-07-10,California,62.46,50.93,42209.0,94546,Alameda,95.91,237.91
Trader Joe's Manhattan Beach Blvd (34),1821 Manhattan Beach Blvd,Manhattan Beach,CA,90266,310-372-1274,310-372-1274,https://locations.traderjoes.com/ca/manhattan-beach/34/,2021-07-10,California,62.46,50.93,35135.0,90266,Los Angeles,130.15,293.3
Trader Joe's Manhattan Beach - Rosecrans Blvd (106),1800 Rosecrans Blvd,Manhattan Beach,CA,90266,310-725-9800,310-725-9800,https://locations.traderjoes.com/ca/manhattan-beach/106/,2021-07-10,California,62.46,50.93,35135.0,90266,Los Angeles,130.15,293.3
Trader Joe's South Pasadena (18),613 Mission St,S. Pasadena,CA,91030,626-441-6263,626-441-6263,https://locations.traderjoes.com/ca/s.-pasadena/18/,2021-07-10,California,62.46,50.93,25616.0,91030,Los Angeles,99.52,227.46
Trader Joe's Los Angeles - 3rd & Fairfax (240),175 South Fairfax Ave,Los Angeles,CA,90036,323-931-4012,323-931-4012,https://locations.traderjoes.com/ca/los-angeles/240/,2021-07-10,California,62.46,50.93,36865.0,90036,Los Angeles,135.31,324.0
Trader Joe's Los Angeles (31),263 S La Brea Ave,Los Angeles,CA,90036,323-965-1989,323-965-1989,https://locations.traderjoes.com/ca/los-angeles/31/,2021-07-10,California,62.46,50.93,36865.0,90036,Los Angeles,135.31,324.0
Trader Joe's South San Francisco (187),301 MC Lellan Dr,South San Francisco,CA,94080,650-583-6401,650-583-6401,https://locations.traderjoes.com/ca/south-san-francisco/187/,2021-07-10,California,62.46,50.93,63975.0,94080,San Mateo,130.15,354.41
Trader Joe's Laguna Hills (39),24231 Avenida De La Carlota,Laguna Hills,CA,92653,949-461-0927,949-461-0927,https://locations.traderjoes.com/ca/laguna-hills/39/,2021-07-10,California,62.46,50.93,29291.0,92653,Orange,141.22,309.14
Trader Joe's Calabasas (254),23741 Calabasas Rd.,Calabasas,CA,91302,818-591-6758,818-591-6758,https://locations.traderjoes.com/ca/calabasas/254/,2021-07-10,California,62.46,50.93,25709.0,91302,Los Angeles,163.91,311.06
Trader Joe's Culver City (36),9290 Culver Blvd,Culver City,CA,90232,310-202-1108,310-202-1108,https://locations.traderjoes.com/ca/culver-city/36/,2021-07-10,California,62.46,50.93,15149.0,90232,Los Angeles,104.15,248.89
Trader Joe's Oakland - Lakeshore (203),3250 Lakeshore Ave,Oakland,CA,94610,510-238-9076,510-238-9076,https://locations.traderjoes.com/ca/oakland/203/,2021-07-10,California,62.46,50.93,29287.0,94610,Alameda,101.06,233.27
Trader Joe's La Habra,"2101 W. Imperial Hwy, Suite A",La Habra,CA,90631,562-266-1428,562-266-1428,https://locations.traderjoes.com/ca/la-habra/5/,2021-07-10,California,62.46,50.93,67619.0,90631,Orange,97.47,224.91
Trader Joe's Santa Barbara (183),3025 De La Vina St,Santa Barbara,CA,93105,805-563-7383,805-563-7383,https://locations.traderjoes.com/ca/santa-barbara/183/,2021-07-10,California,62.46,50.93,24815.0,93105,Santa Barbara,112.16,295.69
Trader Joe's Rancho Cucamonga (217),6401 Haven Ave,Rancho Cucamonga,CA,91737,909-476-1410,909-476-1410,https://locations.traderjoes.com/ca/rancho-cucamonga/217/,2021-07-10,California,62.46,50.93,24740.0,91737,San Bernardino,81.07,207.37
Trader Joe's Goleta (110),5767 Calle Real,Goleta,CA,93117,805-692-2234,805-692-2234,https://locations.traderjoes.com/ca/goleta/110/,2021-07-10,California,62.46,50.93,53217.0,93117,Santa Barbara,77.5,200.06
Trader Joe's West Los Angeles (7),10850 National Blvd,Los Angeles,CA,90064,310-470-1917,310-470-1917,https://locations.traderjoes.com/ca/los-angeles/7/,2021-07-10,California,62.46,50.93,25403.0,90064,Los Angeles,81.38,211.05
Trader Joe's Olympic Blvd (215),11755 Olympic Blvd,Los Angeles,CA,90064,310-477-5949,310-477-5949,https://locations.traderjoes.com/ca/los-angeles/215/,2021-07-10,California,62.46,50.93,25403.0,90064,Los Angeles,81.38,211.05
Trader Joe's Santa Maria (239),1303 S Bradley Rd,Santa Maria,CA,93454,805-925-1657,805-925-1657,https://locations.traderjoes.com/ca/santa-maria/239/,2021-07-10,California,62.46,50.93,36448.0,93454,Santa Barbara,93.11,204.11
Trader Joe's Redding (219),845 Browning St,Redding,CA,96003,530-223-4875,530-223-4875,https://locations.traderjoes.com/ca/redding/219/,2021-07-10,California,62.46,50.93,44461.0,96003,Shasta,49.88,111.41
Trader Joe's Irvine -  Walnut Village Ctr (37),14443 Culver Dr,Irvine,CA,92604,949-857-8108,949-857-8108,https://locations.traderjoes.com/ca/irvine/37/,2021-07-10,California,62.46,50.93,26853.0,92604,Orange,142.52,323.01
Trader Joe's Santa Rosa Ave (178),2100 Santa Rosa Ave,Santa Rosa,CA,95407,707-535-0788,707-535-0788,https://locations.traderjoes.com/ca/santa-rosa/178/,2021-07-10,California,62.46,50.93,39352.0,95407,Sonoma,181.67,502.48
Trader Joe's Menlo Park (69),720 Menlo Ave,Menlo Park,CA,94025,650-323-2134,650-323-2134,https://locations.traderjoes.com/ca/menlo-park/69/,2021-07-10,California,62.46,50.93,40526.0,94025,San Mateo,42.95,107.25
Trader Joe's Westlake Village (58),3835 E Thousand Oaks Blvd,Westlake Village,CA,91362,805-494-5040,805-494-5040,https://locations.traderjoes.com/ca/westlake-village/58/,2021-07-10,California,62.46,50.93,36045.0,91362,Ventura,126.54,304.87
Trader Joe's San Carlos (174),1482 El Camino Real,San Carlos,CA,94070,650-594-2138,650-594-2138,https://locations.traderjoes.com/ca/san-carlos/174/,2021-07-10,California,62.46,50.93,29166.0,94070,San Mateo,135.98,381.62
Trader Joe's El Cerrito (108),225 El Cerrito Plaza,El Cerrito,CA,94530,510-524-7609,510-524-7609,https://locations.traderjoes.com/ca/el-cerrito/108/,2021-07-10,California,62.46,50.93,23877.0,94530,Contra Costa,109.21,260.98
Trader Joe's Wilshire (253),2300 Wilshire Blvd #101,Santa Monica,CA,90403,310-264-2223,310-264-2223,https://locations.traderjoes.com/ca/santa-monica/253/,2021-07-10,California,62.46,50.93,24525.0,90403,Los Angeles,133.72,280.31
Trader Joe's Irvine - Woodbury Town Center (210),6222 Irvine Blvd,Irvine,CA,92620,949-551-6402,949-551-6402,https://locations.traderjoes.com/ca/irvine/210/,2021-07-10,California,62.46,50.93,38486.0,92620,Orange,104.23,285.92
Trader Joe's Milpitas (229),1306 Great Mall Pkwy,Milpitas,CA,95035,408-942-6957,408-942-6957,https://locations.traderjoes.com/ca/milpitas/229/,2021-07-10,California,62.46,50.93,66943.0,95035,Santa Clara,122.42,319.02
Trader Joe's Tustin (197),1198 Irvine Blvd.,Tustin,CA,92780,714-505-3289,714-505-3289,https://locations.traderjoes.com/ca/tustin/197/,2021-07-10,California,62.46,50.93,57741.0,92780,Orange,86.25,224.33
Trader Joe's West Hills (50),6751 Fallbrook Ave,West Hills,CA,91307,818-347-2591,818-347-2591,https://locations.traderjoes.com/ca/west-hills/50/,2021-07-10,California,62.46,50.93,24474.0,91307,Los Angeles,127.96,295.5
Trader Joe's Sunset Blvd (192),8000 W Sunset Blvd,Los Angeles,CA,90046,323-822-7663,323-822-7663,https://locations.traderjoes.com/ca/los-angeles/192/,2021-07-10,California,62.46,50.93,48581.0,90046,Los Angeles,120.27,291.56
Trader Joe's West Hollywood (40),7310 Santa Monica Blvd,West Hollywood,CA,90046,323-969-8048,323-969-8048,https://locations.traderjoes.com/ca/west-hollywood/40/,2021-07-10,California,62.46,50.93,48581.0,90046,Los Angeles,120.27,291.56
Trader Joe's Encino (56),17640 Burbank Blvd,Encino,CA,91316,818-990-7751,818-990-7751,https://locations.traderjoes.com/ca/encino/56/,2021-07-10,California,62.46,50.93,26898.0,91316,Los Angeles,118.69,266.3
Trader Joe's Santa Ana (113),3329 S Bristol St,Santa Ana,CA,92704,714-424-9304,714-424-9304,https://locations.traderjoes.com/ca/santa-ana/113/,2021-07-10,California,62.46,50.93,88123.0,92704,Orange,78.7,220.3
Trader Joe's La Mesa (24),5495 Grossmont Center Dr,La Mesa,CA,91942,619-466-0105,619-466-0105,https://locations.traderjoes.com/ca/la-mesa/24/,2021-07-10,California,62.46,50.93,38069.0,91942,San Diego,84.75,198.93
Trader Joe's Los Angeles - Burton Way (237),8500 Burton Way,Los Angeles,CA,90048,310-248-2984,310-248-2984,https://locations.traderjoes.com/ca/los-angeles/237/,2021-07-10,California,62.46,50.93,21397.0,90048,Los Angeles,121.57,283.54
Trader Joe's Valencia (13),26517 Bouquet Canyon Rd,Santa Clarita,CA,91350,661-263-3796,661-263-3796,https://locations.traderjoes.com/ca/santa-clarita/13/,2021-07-10,California,62.46,50.93,33348.0,91350,Los Angeles,37.2,62.81
Trader Joe's La Quinta (189),46400 Washington St,La Quinta,CA,92253,760-777-1553,760-777-1553,https://locations.traderjoes.com/ca/la-quinta/189/,2021-07-10,California,62.46,50.93,37262.0,92253,Riverside,93.84,261.31
Trader Joe's San Jose - Westgate West (62),5269 Prospect,San Jose,CA,95129,408-446-5055,408-446-5055,https://locations.traderjoes.com/ca/san-jose/62/,2021-07-10,California,62.46,50.93,38720.0,95129,Santa Clara,109.65,381.45
Trader Joe's San Jose - Bollinger (232),7250 Bollinger Rd,San Jose,CA,95129,408-873-7384,408-873-7384,https://locations.traderjoes.com/ca/san-jose/232/,2021-07-10,California,62.46,50.93,38720.0,95129,Santa Clara,109.65,381.45
Trader Joe's Elk Grove (190),9670 Bruceville Road,Elk Grove,CA,95757,916-686-9980,916-686-9980,https://locations.traderjoes.com/ca/elk-grove/190/,2021-07-10,California,62.46,50.93,40222.0,95757,Sacramento,103.87,263.4
Trader Joe's Mountain View (81),590 Showers Dr,Mountain View,CA,94040,650-917-1013,650-917-1013,https://locations.traderjoes.com/ca/mountain-view/81/,2021-07-10,California,62.46,50.93,32996.0,94040,Santa Clara,101.48,260.27
Trader Joe's Long Beach - PCH (43),6451 E Pacific Coast  Hwy,Long Beach,CA,90803,562-596-4388,562-596-4388,https://locations.traderjoes.com/ca/long-beach/43/,2021-07-10,California,62.46,50.93,32031.0,90803,Los Angeles,88.18,247.41
Trader Joe's Whittier (48),15025 E Whittier Blvd,Whittier,CA,90603,562-698-1642,562-698-1642,https://locations.traderjoes.com/ca/whittier/48/,2021-07-10,California,62.46,50.93,20063.0,90603,Los Angeles,86.14,218.55
Trader Joe's San Diego - Point Loma (188),2401 Truxtun Rd,San Diego,CA,92106,619-758-9272,619-758-9272,https://locations.traderjoes.com/ca/san-diego/188/,2021-07-10,California,62.46,50.93,19330.0,92106,San Diego,80.87,211.75
Trader Joe's Thousand Oaks (196),451 Avenida De Los Arboles,Thousand Oaks,CA,91360,805-492-7107,805-492-7107,https://locations.traderjoes.com/ca/thousand-oaks/196/,2021-07-10,California,62.46,50.93,42402.0,91360,Ventura,117.24,229.29
Trader Joe's Concord (60),1150 Concord Ave,Concord,CA,94520,925-689-2990,925-689-2990,https://locations.traderjoes.com/ca/concord/60/,2021-07-10,California,62.46,50.93,37208.0,94520,Contra Costa,105.89,254.01
Trader Joe's Cerritos (104),12861 Towne Center Dr,Cerritos,CA,90703,562-402-5148,562-402-5148,https://locations.traderjoes.com/ca/cerritos/104/,2021-07-10,California,62.46,50.93,49399.0,90703,Los Angeles,94.32,220.83
Trader Joe's Escondido (105),1885 S Centre City Pkwy,Escondido,CA,92025,760-233-4020,760-233-4020,https://locations.traderjoes.com/ca/escondido/105/,2021-07-10,California,62.46,50.93,49978.0,92025,San Diego,102.75,268.07
Trader Joe's West Los Angeles - Sepulveda (119),3456 S Sepulveda Blvd,Los Angeles,CA,90034,310-836-2458,310-836-2458,https://locations.traderjoes.com/ca/los-angeles/119/,2021-07-10,California,62.46,50.93,57964.0,90034,Los Angeles,88.29,225.25
Trader Joe's Pasadena - S Lake Ave (179),345 S Lake Ave,Pasadena,CA,91101,626-395-9553,626-395-9553,https://locations.traderjoes.com/ca/pasadena/179/,2021-07-10,California,62.46,50.93,20460.0,91101,Los Angeles,73.63,199.69
Trader Joe's San Jose - Old Almaden (63),5353 Almaden Expressway #J-38,San Jose,CA,95118,408-264-8120,408-264-8120,https://locations.traderjoes.com/ca/san-jose/63/,2021-07-10,California,62.46,50.93,31932.0,95118,Santa Clara,84.39,208.75
